,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
85,26,2008,Chennai,"May 6, 2008",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin,
86,27,2008,Mumbai,"May 7, 2008",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,
87,28,2008,Delhi,"May 8, 2008",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
88,29,2008,Kolkata,"May 8, 2008",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,
89,30,2008,Jaipur,"May 9, 2008",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,
90,31,2008,Bangalore,"May 28, 2008",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,
91,32,2008,Chennai,"May 10, 2008",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Chennai Super Kings,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,
92,33,2008,Hyderabad,"May 11, 2008",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
93,34,2008,Jaipur,"May 11, 2008",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
94,35,2008,Chandigarh,"May 12, 2008",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Kings XI Punjab,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,
95,36,2008,Kolkata,"May 13, 2008",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
96,37,2008,Mumbai,"May 14, 2008",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,
97,38,2008,Chandigarh,"May 28, 2008",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Kings XI Punjab,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,
98,39,2008,Delhi,"May 15, 2008",Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Delhi Daredevils,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,
99,40,2008,Mumbai,"May 16, 2008",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,
100,41,2008,Delhi,"May 17, 2008",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,Win By Runs,Kings XI Punjab,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,
101,42,2008,Jaipur,"May 17, 2008",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Rajasthan Royals,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,
102,43,2008,Hyderabad,"May 18, 2008",Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Mumbai Indians,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,
103,44,2008,Kolkata,"May 18, 2008",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Win By Runs,Chennai Super Kings,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,
104,45,2008,Bangalore,"May 19, 2008",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,
105,46,2008,Kolkata,"May 20, 2008",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,
