,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
175,1,2010,Mumbai,"March 12, 2010",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Kolkata Knight Riders,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,
176,2,2010,Mumbai,"March 13, 2010",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,
177,3,2010,Chandigarh,"March 13, 2010",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
178,4,2010,Kolkata,"March 14, 2010",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,
179,5,2010,Chennai,"March 14, 2010",Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
180,6,2010,Ahmedabad,"March 15, 2010",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,
181,7,2010,Bangalore,"March 16, 2010",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ Harper,
182,8,2010,Kolkata,"March 16, 2010",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba,
183,9,2010,Delhi,"March 17, 2010",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Mumbai Indians,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
184,10,2010,Bangalore,"March 18, 2010",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
185,11,2010,Delhi,"March 19, 2010",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
186,12,2010,Cuttack,"March 19, 2010",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Deccan Chargers,6,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
187,13,2010,Ahmedabad,"March 20, 2010",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,
188,14,2010,Mumbai,"March 20, 2010",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,
189,15,2010,Cuttack,"March 21, 2010",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
190,16,2010,Chennai,"March 21, 2010",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Win By Wickets,Kings XI Punjab,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
191,17,2010,Mumbai,"March 22, 2010",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Mumbai Indians,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,
192,18,2010,Bangalore,"March 23, 2010",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Royal Challengers Bangalore,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
193,19,2010,Chandigarh,"March 24, 2010",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Rajasthan Royals,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,
194,20,2010,Mumbai,"March 25, 2010",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba,
195,21,2010,Ahmedabad,"March 26, 2010",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Win By Wickets,Rajasthan Royals,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,
196,22,2010,Chandigarh,"March 27, 2010",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
197,23,2010,Bangalore,"March 25, 2010",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Delhi Daredevils,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,
198,24,2010,Ahmedabad,"March 28, 2010",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,
199,25,2010,Mumbai,"March 28, 2010",Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Mumbai Indians,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,
200,26,2010,Delhi,"March 29, 2010",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,
201,27,2010,Mumbai,"March 30, 2010",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore,
202,28,2010,Chennai,"March 31, 2010",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,
203,29,2010,Delhi,"March 31, 2010",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,
204,30,2010,Kolkata,"April 1, 2010",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,24,0,SC Ganguly,Eden Gardens,K Hariharan,DJ Harper,
205,31,2010,Chandigarh,"April 2, 2010",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,
206,32,2010,Chennai,"April 3, 2010",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,
207,33,2010,Mumbai,"April 3, 2010",Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi,
208,34,2010,Kolkata,"April 4, 2010",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,
209,35,2010,Delhi,"April 4, 2010",Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,
210,36,2010,Nagpur,"April 5, 2010",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
211,37,2010,Chennai,"April 6, 2010",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper,
212,38,2010,Jaipur,"April 7, 2010",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Win By Wickets,Rajasthan Royals,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,
213,39,2010,Kolkata,"April 7, 2010",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,
214,40,2010,Bangalore,"April 8, 2010",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,7,TL Suman,M Chinnaswamy Stadium,S Asnani,DJ Harper,
215,41,2010,Chandigarh,"April 9, 2010",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Win By Wickets,Kings XI Punjab,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,
216,42,2010,Nagpur,"April 10, 2010",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Win By Wickets,Deccan Chargers,0,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
217,43,2010,Bangalore,"April 10, 2010",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
218,44,2010,Delhi,"April 11, 2010",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Win By Wickets,Kings XI Punjab,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,
219,45,2010,Jaipur,"April 11, 2010",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Mumbai Indians,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
220,46,2010,Nagpur,"April 12, 2010",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen,RB Tiffin,
221,47,2010,Mumbai,"April 13, 2010",Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,
222,48,2010,Chennai,"April 13, 2010",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Chennai Super Kings,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,
223,49,2010,Jaipur,"April 14, 2010",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,KP Pietersen,Sawai Mansingh Stadium,BR Doctrove,S Ravi,
224,50,2010,Chennai,"April 15, 2010",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Wickets,Delhi Daredevils,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,
225,51,2010,Dharamsala,"April 16, 2010",Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,
226,52,2010,Bangalore,"April 17, 2010",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Mumbai Indians,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,
227,53,2010,Kolkata,"April 17, 2010",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,
228,54,2010,Dharamsala,"April 18, 2010",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,
229,55,2010,Delhi,"April 18, 2010",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
230,56,2010,Kolkata,"April 19, 2010",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,
231,57,2010,Mumbai,"April 21, 2010",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
232,58,2010,Mumbai,"April 22, 2010",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,38,0,DE Bollinger,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
233,59,2010,Mumbai,"April 24, 2010",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,A Kumble,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
234,60,2010,Mumbai,"April 25, 2010",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,22,0,SK Raina,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
235,1,2011,Chennai,"April 8, 2011",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,
236,2,2011,Hyderabad,"April 9, 2011",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,
237,3,2011,Kochi,"April 9, 2011",Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,6,AB de Villiers,Nehru Stadium,HDPK Dharmasena,K Hariharan,
238,4,2011,Delhi,"April 10, 2011",Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Win By Wickets,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla,AM Saheba,RB Tiffin,
239,5,2011,Mumbai,"April 10, 2011",Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Win By Wickets,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,
240,6,2011,Kolkata,"April 11, 2011",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,9,0,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,
241,7,2011,Jaipur,"April 12, 2011",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Wickets,Rajasthan Royals,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
242,8,2011,Bangalore,"April 12, 2011",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium,HDPK Dharmasena,AL Hill,
243,9,2011,Chandigarh,"April 13, 2011",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,
244,10,2011,Mumbai,"April 13, 2011",Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Win By Wickets,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,S Asnani,PR Reiffel,
245,11,2011,Hyderabad,"April 14, 2011",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Deccan Chargers,33,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
246,12,2011,Jaipur,"April 15, 2011",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,
247,13,2011,Mumbai,"April 15, 2011",Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Win By Wickets,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,BR Doctrove,PR Reiffel,
248,14,2011,Chennai,"April 16, 2011",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,
249,15,2011,Hyderabad,"April 16, 2011",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
250,16,2011,Mumbai,"April 17, 2011",Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,Asad Rauf,AM Saheba,
251,17,2011,Kolkata,"April 17, 2011",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,
252,18,2011,Kochi,"April 18, 2011",Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Win By Wickets,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,
253,19,2011,Delhi,"April 19, 2011",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
254,20,2011,Mumbai,"April 20, 2011",Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Win By Wickets,Mumbai Indians,0,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,
255,21,2011,Kolkata,"April 20, 2011",Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,
256,22,2011,Chandigarh,"April 21, 2011",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,
257,23,2011,Mumbai,"April 22, 2011",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,
258,24,2011,Kolkata,"April 22, 2011",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,
259,25,2011,Delhi,"April 23, 2011",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Delhi Daredevils,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,
260,26,2011,Hyderabad,"April 24, 2011",Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,
261,27,2011,Jaipur,"April 24, 2011",Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
262,28,2011,Chennai,"April 25, 2011",Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
263,29,2011,Delhi,"April 26, 2011",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
264,30,2011,Mumbai,"April 27, 2011",Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Win By Wickets,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
265,31,2011,Kochi,"April 27, 2011",Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Win By Runs,Deccan Chargers,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,
266,32,2011,Delhi,"April 28, 2011",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
267,33,2011,Jaipur,"April 29, 2011",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
268,34,2011,Bangalore,"April 29, 2011",Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
269,35,2011,Kochi,"April 30, 2011",Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,
270,36,2011,Kolkata,"April 30, 2011",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
271,37,2011,Jaipur,"May 1, 2011",Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,
272,38,2011,Chennai,"May 1, 2011",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
273,39,2011,Mumbai,"May 2, 2011",Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
274,40,2011,Delhi,"May 2, 2011",Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Win By Wickets,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,
275,41,2011,Hyderabad,"May 3, 2011",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
276,42,2011,Chennai,"May 4, 2011",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Wickets,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
277,43,2011,Mumbai,"May 4, 2011",Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
278,44,2011,Kochi,"May 5, 2011",Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
279,45,2011,Hyderabad,"May 5, 2011",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
280,46,2011,Bangalore,"May 6, 2011",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
281,47,2011,Kolkata,"May 7, 2011",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,1,Win By Runs,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
282,48,2011,Mumbai,"May 7, 2011",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
283,49,2011,Bangalore,"May 8, 2011",Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
284,50,2011,Chandigarh,"May 8, 2011",Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Win By Wickets,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
285,51,2011,Jaipur,"May 9, 2011",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
286,52,2011,Hyderabad,"May 10, 2011",Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Win By Wickets,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
287,53,2011,Chandigarh,"May 10, 2011",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
288,54,2011,Jaipur,"May 11, 2011",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
